Date,Open,High,Low,Close,Adj Close,Volume
2011-02-02,141.000000,141.050003,135.899994,136.500000,126.766281,2986356
2011-02-03,136.500000,139.250000,135.500000,138.350006,128.484329,856145
2011-02-04,138.500000,139.250000,134.199997,134.949997,125.326782,581117
2011-02-07,136.800003,136.800003,134.300003,134.800003,125.187492,434301
2011-02-08,137.000000,137.399994,130.500000,131.699997,122.308533,1037657
2011-02-09,131.000000,132.000000,126.949997,129.000000,119.801071,1074254
2011-02-10,128.750000,130.850006,120.500000,129.699997,120.451164,983982
2011-02-11,131.000000,139.899994,128.199997,138.550003,128.670074,1175164
2011-02-14,142.000000,144.399994,137.100006,142.699997,133.004120,875125
2011-02-15,142.600006,146.000000,139.300003,141.649994,132.025497,1017479
2011-02-16,142.750000,144.250000,139.000000,143.350006,133.609940,1324018
2011-02-17,143.699997,149.399994,142.300003,147.800003,137.757629,1236435
2011-02-18,148.000000,151.000000,142.949997,144.300003,134.495438,548509
2011-02-21,145.399994,145.399994,139.199997,143.649994,133.889587,459542
2011-02-22,141.500000,143.800003,139.199997,140.199997,130.673996,457607
2011-02-23,140.050003,146.600006,138.350006,143.899994,134.122620,1732547
2011-02-24,144.000000,149.800003,141.000000,146.300003,136.359543,1598633
2011-02-25,145.100006,149.500000,143.100006,148.199997,138.130432,743380
2011-02-28,148.050003,150.550003,134.750000,138.000000,128.623474,2792105
2011-03-01,139.199997,141.399994,133.250000,138.949997,129.508911,3822872
2011-03-03,139.750000,139.750000,135.000000,135.600006,126.386551,1759385
2011-03-04,110.000000,137.800003,110.000000,132.800003,123.776833,1382407
2011-03-07,130.000000,132.500000,130.000000,131.500000,122.565140,780459
2011-03-08,131.500000,133.699997,131.149994,132.699997,123.683586,319785
2011-03-09,133.100006,134.300003,129.649994,131.050003,122.145691,1183691
2011-03-10,131.449997,135.550003,131.000000,133.800003,124.708847,1064047
2011-03-11,132.800003,133.649994,130.350006,131.600006,122.658333,580658
2011-03-14,131.800003,134.500000,131.100006,133.250000,124.196205,542303
2011-03-15,126.000000,132.899994,125.250000,130.800003,121.912712,568586
2011-03-16,130.000000,132.800003,130.000000,131.350006,122.425331,625182
2011-03-17,129.850006,134.750000,129.850006,133.649994,124.569054,714993
2011-03-18,134.000000,135.500000,132.199997,133.949997,124.848625,840493
2011-03-21,134.550003,134.949997,131.199997,131.550003,122.611748,321326
2011-03-22,132.050003,133.500000,130.550003,131.300003,122.378723,413606
2011-03-23,132.050003,132.899994,130.500000,131.300003,122.378723,404062
2011-03-24,132.000000,133.600006,131.399994,132.649994,123.636978,523257
2011-03-25,134.000000,138.399994,133.600006,137.949997,128.576874,1368519
2011-03-28,138.300003,139.550003,136.699997,137.949997,128.576874,600132
2011-03-29,137.949997,139.800003,135.550003,136.500000,127.225410,841159
2011-03-30,137.899994,138.149994,135.100006,136.449997,127.178810,541367
2011-03-31,136.550003,137.649994,134.199997,136.649994,127.365204,763249
2011-04-01,138.000000,142.250000,137.500000,141.149994,131.559448,1716486
2011-04-04,142.350006,149.100006,141.500000,148.199997,138.130432,1125553
2011-04-05,148.500000,158.000000,148.050003,156.850006,146.192719,1712167
2011-04-06,158.000000,158.399994,152.250000,153.649994,143.210129,934007
2011-04-07,154.750000,157.000000,152.699997,155.750000,145.167435,1042870
2011-04-08,156.699997,156.800003,152.500000,154.399994,143.909164,877589
2011-04-11,154.850006,155.949997,145.550003,146.050003,136.126495,758237
2011-04-13,145.899994,147.850006,144.199997,147.250000,137.244949,736669
2011-04-15,147.850006,148.250000,144.699997,146.050003,136.126495,334620
2011-04-18,146.899994,153.500000,146.500000,150.100006,139.901337,1715836
2011-04-19,150.800003,151.199997,145.199997,146.899994,136.918747,776550
2011-04-20,147.949997,149.350006,146.250000,147.850006,137.804214,412906
2011-04-21,148.699997,149.399994,146.550003,147.149994,137.151764,327436
2011-04-25,147.199997,147.899994,145.300003,146.800003,136.825546,474447
2011-04-26,147.000000,147.600006,143.100006,144.899994,135.054672,593986
2011-04-27,145.100006,146.000000,141.050003,142.250000,132.584656,917321
2011-04-28,142.399994,146.350006,140.649994,144.600006,134.775055,821967
2011-04-29,145.050003,146.050003,141.050003,144.449997,134.635254,1112274
2011-05-02,145.399994,146.000000,141.500000,143.850006,134.076004,224173
2011-05-03,143.600006,148.449997,137.550003,138.699997,129.275909,1714835
2011-05-04,143.000000,143.000000,132.399994,133.199997,124.149628,1392594
2011-05-05,133.500000,134.350006,127.250000,128.550003,120.176445,2733977
2011-05-06,129.000000,133.350006,126.099998,131.899994,123.308220,2375485
2011-05-09,134.300003,134.699997,129.500000,130.500000,121.999458,2699189
2011-05-10,131.199997,136.199997,130.550003,135.600006,126.767212,1839712
2011-05-11,135.050003,136.850006,133.149994,134.800003,126.019333,1275260
2011-05-12,134.500000,135.399994,132.350006,133.199997,124.523575,599231
2011-05-13,132.250000,139.350006,131.000000,138.199997,129.197876,1059083
2011-05-16,137.850006,140.100006,135.149994,138.699997,129.665283,516674
2011-05-17,141.250000,156.449997,139.800003,144.399994,134.994034,4091917
2011-05-18,146.399994,149.350006,142.149994,148.149994,138.499756,3165782
2011-05-19,148.500000,149.800003,143.500000,144.199997,134.807068,1596311
2011-05-20,140.100006,149.500000,140.100006,147.949997,138.312759,1582876
2011-05-23,146.750000,151.300003,145.449997,149.899994,140.135757,2425801
2011-05-24,149.899994,153.399994,149.149994,151.800003,141.911987,3261978
2011-05-25,151.000000,155.199997,151.000000,154.449997,144.389404,4081882
2011-05-26,154.500000,156.899994,150.550003,151.899994,142.005463,2623502
2011-05-27,152.800003,153.399994,147.050003,152.649994,142.706635,2050208
2011-05-30,152.800003,159.350006,151.500000,155.600006,145.464493,4165889
2011-05-31,155.050003,165.899994,155.050003,161.449997,150.933395,20663160
2011-06-01,162.100006,165.699997,161.250000,164.000000,153.317307,2574106
2011-06-02,164.000000,165.149994,160.149994,161.250000,150.746414,1699298
2011-06-03,161.500000,162.800003,159.199997,161.050003,150.559464,1185817
2011-06-06,160.500000,161.100006,159.050003,159.850006,149.437637,546378
2011-06-07,159.850006,162.750000,156.350006,157.250000,147.007004,2193466
2011-06-08,157.399994,158.699997,153.300003,154.899994,144.810074,1431303
2011-06-09,155.050003,157.399994,153.149994,154.949997,144.856796,867109
2011-06-10,155.399994,155.399994,150.300003,152.000000,142.098953,838559
2011-06-13,152.449997,155.399994,150.050003,154.750000,144.669830,749987
2011-06-14,154.949997,157.750000,154.350006,156.550003,146.352554,599387
2011-06-15,156.000000,158.600006,153.250000,154.250000,144.202393,956161
2011-06-16,153.300003,153.899994,150.750000,151.550003,141.678299,1145520
2011-06-17,150.949997,152.350006,147.250000,148.199997,138.546463,696910
2011-06-20,149.800003,150.000000,141.399994,147.149994,137.564880,1207293
2011-06-21,148.000000,149.800003,144.500000,148.350006,138.686707,1088170
2011-06-22,149.899994,150.600006,146.500000,148.100006,138.453003,487689
2011-06-23,148.199997,151.500000,144.000000,150.149994,140.369431,1194788
2011-06-24,151.000000,155.899994,151.000000,154.300003,144.249130,851591
2011-06-27,154.500000,157.800003,153.449997,156.250000,146.072128,1615697
2011-06-28,156.550003,158.850006,156.550003,157.100006,146.866745,1127185
2011-06-29,153.100006,159.000000,151.600006,157.100006,146.866745,1022281
2011-06-30,158.850006,163.250000,157.050003,161.949997,151.400833,2743578
2011-07-01,163.000000,164.949997,160.649994,162.350006,151.774765,641406
2011-07-04,162.350006,164.000000,160.250000,160.850006,150.372498,508395
2011-07-05,161.250000,161.899994,159.250000,159.899994,149.484375,376300
2011-07-06,159.500000,164.000000,159.449997,161.000000,150.512711,681135
2011-07-07,162.000000,165.750000,159.649994,162.050003,151.494339,1081191
2011-07-08,162.550003,162.600006,157.100006,157.850006,147.567886,360582
2011-07-11,156.500000,158.500000,155.000000,157.100006,146.866745,437792
2011-07-12,155.300003,156.699997,153.500000,153.899994,143.875229,673388
2011-07-13,154.649994,156.600006,152.550003,154.500000,144.436127,721657
2011-07-14,152.550003,157.899994,152.000000,156.800003,146.586304,712244
2011-07-15,156.699997,158.850006,154.449997,156.750000,146.539566,520139
2011-07-18,156.500000,158.050003,154.050003,154.850006,144.763336,286868
2011-07-19,154.800003,161.199997,153.250000,160.399994,149.951782,1099870
2011-07-20,161.300003,162.649994,155.000000,155.949997,145.791656,1424292
2011-07-21,156.449997,158.850006,154.100006,157.350006,147.100494,1069969
2011-07-22,158.449997,161.500000,157.899994,160.750000,150.278992,1679870
2011-07-25,161.000000,161.800003,158.100006,158.949997,148.596252,1385495
2011-07-26,159.500000,163.000000,158.100006,158.899994,148.549500,1150173
2011-07-27,159.800003,160.500000,155.600006,156.250000,146.072128,495383
2011-07-28,155.350006,160.000000,154.000000,154.949997,144.856796,1243690
2011-07-29,154.050003,156.399994,135.250000,143.550003,134.199402,4895210
2011-08-01,147.500000,150.899994,144.000000,145.100006,135.648422,3708191
